precip_mid,p25,p50,p75
0.112,8020.25,16857.0,25029.75
0.336,7624.0,15232.0,24225.5
0.5595,6475.0,10298.0,23140.0
0.783,7476.75,13503.0,23178.0
1.0070000000000001,8500.0,16068.0,22651.0
1.2309999999999999,9228.5,12923.0,22874.0
1.455,11506.0,17018.0,22808.5
1.6785,7427.0,16556.0,23087.0
1.902,11626.5,18369.0,22909.75
2.126,13518.0,19352.0,23106.0
2.35,8990.0,11439.0,21323.0
2.574,15219.0,20548.0,22574.5
2.7975,4014.0,6303.0,7690.0
3.021,7235.75,12933.5,20740.5
3.245,9574.0,18208.0,22804.25
3.4690000000000003,7525.5,23850.0,28145.0
3.6925,5537.0,10224.0,17759.75
3.9159999999999995,14110.25,17132.0,19645.25
4.14,8123.0,9183.0,14117.0
4.364,10429.0,11424.0,14588.0
4.588,10206.0,19087.0,21455.0
4.8115000000000006,11148.75,17719.0,22822.75
5.035,14576.0,18625.0,21943.0
5.259,14530.0,17484.0,19436.0
5.4830000000000005,5135.0,10517.0,15367.0
5.707,8741.5,10445.5,21746.25
5.9305,7885.5,10845.0,16777.0
6.154,12116.25,17549.5,22510.5
6.378,6001.75,6785.5,7301.25
