mid,p25,p50,p75
-17.563,9.0,16.0,29.75
-15.889,7.0,14.0,37.0
-14.215,4.75,28.0,57.5
-12.5405,7.0,20.0,62.25
-10.866,18.5,59.5,135.5
-9.192,34.0,87.0,165.0
-7.518000000000001,20.0,76.0,160.25
-5.843999999999999,33.0,106.0,192.5
-4.17,48.0,113.0,239.0
-2.496,54.0,146.5,272.0
-0.82175,59.0,187.0,340.0
0.85275,49.0,157.0,340.0
2.527,89.0,252.0,419.0
4.2010000000000005,112.0,316.5,510.75
5.875,130.0,373.0,596.0
7.5489999999999995,162.0,441.0,685.0
9.222999999999999,142.25,432.0,742.25
10.897,179.0,500.5,847.25
12.5715,178.25,602.0,1009.75
14.246,176.5,631.0,1078.0
15.920000000000002,190.0,674.0,1116.0
17.594,156.75,667.0,1125.0
19.268,157.0,618.5,1098.0
20.942,216.0,773.0,1221.0
22.616,416.25,970.0,1401.0
24.2905,711.75,1106.5,1521.0
25.965,929.0,1183.0,1624.5
27.639,1025.0,1328.0,1822.5
29.313,1044.0,1310.0,1908.0
